title,description,skills,salary,experience,location,country,work_type,company,date_posted,all_skills_str,skill_count,cluster,cluster_name,dominant_topic,dominant_topic_name
Chemical Analyst,"As a Research Chemist, you will engage in scientific research and experimentation to discover and develop new chemical compounds or processes. Your work may involve designing experiments, analyzing data, and publishing research findings. Your role contributes to the advancement of scientific knowledge and may have applications in various industries.",Research chemistry Experimental design Data interpretation Chemical synthesis Research protocols Scientific writing Problem-solving skills,$57K-$115K,0 to 13 Years,Sofia,Bulgaria,Contract,British American Tobacco,2022-08-28,problem solving,1,2,Marketing & Architecture,5,Testing & Performance
Electrical Designer,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.",Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge,$57K-$82K,2 to 9 Years,The City of Hamilton,Bermuda,Temporary,Old Republic International,2022-09-22,,0,2,Marketing & Architecture,5,Testing & Performance
Software Engineer,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.","Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization",$63K-$121K,1 to 13 Years,"Malabo (de jure),",Equatorial Guinea,Full-Time,CBRE Group,2022-10-31,"frontend, javascript, user interface, git, vue, angular, react, html",8,0,Design & UI/UX,3,UI/UX Design
Process Engineer,"Chemical Engineers design and oversee processes for the production of chemicals and related products. They conduct experiments, analyze data, and develop processes to optimize production, ensure safety, and minimize environmental impact.",Chemical engineering Process design Chemical reactions Safety protocols Laboratory techniques Problem-solving skills,$63K-$114K,4 to 12 Years,Suva,Fiji,Intern,Transurban Group,2023-03-20,problem solving,1,2,Marketing & Architecture,0,Engineering & Systems
Graphic Designer,"Print Graphic Designers design graphics and layouts for printed materials such as brochures, posters, and packaging. They use their creativity and design skills to visually communicate messages and information effectively in printed form.","Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge",$63K-$85K,5 to 14 Years,Skopje,"Macedonia, FYR",Full-Time,Agricultural Bank of China,2023-06-15,"creativity, adobe, illustrator",3,0,Design & UI/UX,3,UI/UX Design
Interior Designer,"A Hospitality Interior Designer specializes in creating inviting and functional interiors for hotels, restaurants, and other hospitality establishments.","Hospitality interior design Hotel and restaurant design Branding and theme integration FF&E (furniture, fixtures, and equipment) selection Customer experience design",$58K-$121K,1 to 8 Years,Madrid,Spain,Temporary,Kyndryl Holdings,2022-05-14,,0,0,Design & UI/UX,2,Application Development
Mechanical Designer,Create and modify technical drawings using computer-aided design (CAD) software for various engineering projects.,Computer-aided design (CAD) software Technical drawing Blueprint interpretation Drafting standards Engineering principles Collaboration with engineers Problem-solving Attention to detail Communication skills 3D modeling (if applicable),$61K-$108K,4 to 8 Years,Hagatna,Guam,Full-Time,Petrofac,2022-04-12,"collaboration, communication, problem solving",3,2,Marketing & Architecture,0,Engineering & Systems
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",$57K-$125K,4 to 14 Years,Seoul,"Korea, Rep.",Temporary,Humana,2023-08-14,analytics,1,2,Marketing & Architecture,0,Engineering & Systems
Database Developer,"SQL Database Developers design, implement, and maintain relational databases using SQL (Structured Query Language). They write queries, optimize database performance, and ensure data integrity and security.",SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills,$60K-$112K,3 to 8 Years,City of Port Louis,Mauritius,Contract,Deutsche Telekom AG,2023-02-12,"database, sql, data modeling, security, problem solving",5,5,Database & Systems,4,Network & Security
Interior Designer,A Commercial Interior Designer focuses on designing interior spaces for businesses and commercial properties. They optimize layouts for productivity and aesthetics.,Commercial interior design Workplace ergonomics Building codes and regulations knowledge Sustainable design principles AutoCAD and Revit proficiency,$60K-$101K,0 to 13 Years,Guatemala City,Guatemala,Contract,Reliance Industries Limited,2022-04-01,,0,0,Design & UI/UX,3,UI/UX Design
Process Engineer,"Industrial Engineers focus on improving efficiency and productivity in various industries. They analyze processes, design systems, and implement solutions to streamline operations, reduce costs, and enhance quality.",Industrial engineering Process optimization Lean manufacturing Quality control Data analysis Workflow design,$64K-$99K,2 to 14 Years,San Salvador,El Salvador,Full-Time,HDFC Asset Management Company,2022-05-22,data analysis,1,2,Marketing & Architecture,0,Engineering & Systems
QA Analyst,Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review",$61K-$83K,5 to 8 Years,Vilnius,Lithuania,Full-Time,Page Industries,2023-01-11,"reporting, python",2,2,Marketing & Architecture,3,UI/UX Design
Electrical Designer,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.",Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge,$65K-$81K,5 to 8 Years,London,UK,Part-Time,B&M,2023-07-23,,0,2,Marketing & Architecture,5,Testing & Performance
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,$62K-$106K,3 to 13 Years,BogotÃ¡,Colombia,Intern,Asian Paints,2022-05-20,"communication, incident response, firewall, ethical hacking, network security, vulnerability, security, problem solving",8,4,Network & Security,4,Network & Security
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,$58K-$80K,5 to 8 Years,Pretoria,South Africa,Temporary,Visa,2022-05-31,"infrastructure, communication, problem solving",3,3,Data & Analytics,2,Application Development
Front-End Developer,"A Web Designer specializes in designing visually appealing and responsive websites. They create layouts, graphics, and user interfaces to enhance the online presence of businesses.","Web design concepts Graphic design software (e.g., Adobe Creative Suite) HTML and CSS Responsive design User interface (UI) principles Visual communication Typography Color theory Creativity Attention to detail Collaboration",$64K-$102K,0 to 11 Years,Port Moresby,Papua New Guinea,Intern,Eversource Energy,2023-08-21,"communication, html, graphic design, user interface, adobe, collaboration, creativity",7,0,Design & UI/UX,3,UI/UX Design
Systems Administrator,"Database Administrators manage databases, ensuring data integrity, security, and efficient performance. They design, implement, and maintain databases while troubleshooting issues.","Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery",$58K-$93K,1 to 15 Years,Budapest,Hungary,Full-Time,Assurant,2022-09-13,"database, sql, oracle, mysql, security",5,5,Database & Systems,4,Network & Security
QA Analyst,"Performance Testing Specialists assess the performance of software applications by conducting load, stress, and scalability tests. They identify bottlenecks, optimize performance, and ensure software can handle user demands effectively.",Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis,$63K-$105K,2 to 12 Years,Sanaa,Yemen,Part-Time,Group 1 Automotive,2022-04-28,,0,1,Software Development,5,Testing & Performance
Database Developer,"SQL Database Developers design, implement, and maintain relational databases using SQL (Structured Query Language). They write queries, optimize database performance, and ensure data integrity and security.",SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills,$65K-$86K,5 to 12 Years,Bern,Switzerland,Intern,Royal Mail,2022-03-19,"database, sql, data modeling, security, problem solving",5,5,Database & Systems,4,Network & Security
Data Engineer,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.","Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing",$61K-$100K,1 to 14 Years,Ankara,Turkey,Contract,JPMorgan Chase,2021-10-17,"spark, hadoop, big data",3,3,Data & Analytics,1,Data & Business Analytics
Environmental Engineer,"An Environmental Consultant assesses environmental impacts, provides regulatory compliance guidance, and develops strategies for sustainable practices and environmental protection.",Environmental assessments Regulatory compliance Environmental impact analysis,$55K-$90K,3 to 11 Years,George Town,Cayman Islands,Contract,Oil Search,2021-11-21,compliance,1,2,Marketing & Architecture,3,UI/UX Design
Electrical Engineer,"Power Systems Engineers design and maintain electrical power systems. They work on generation, transmission, and distribution of electrical power, focusing on safety and efficiency.",Electrical engineering Power system analysis Renewable energy systems Control systems Safety regulations,$60K-$95K,5 to 9 Years,Maseru,Lesotho,Temporary,Edison International,2022-11-02,,0,2,Marketing & Architecture,0,Engineering & Systems
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",$64K-$113K,1 to 11 Years,Gaza,West Bank and Gaza,Contract,Avis Budget Group,2022-03-12,"graphic design, user interface, photoshop, adobe, illustrator",5,0,Design & UI/UX,3,UI/UX Design
Software Engineer,"DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).","Automation and scripting (e.g., Python, Bash) Continuous Integration/Continuous Deployment (CI/CD) Containerization (e.g., Docker, Kubernetes) Infrastructure as Code (e.g., Terraform, Ansible) Cloud platforms (e.g., AWS, Azure, GCP) Monitoring and troubleshooting skills",$65K-$104K,1 to 12 Years,Yaounde,Cameroon,Intern,C.H. Robinson Worldwide,2023-06-05,"gcp, aws, docker, infrastructure, devops, azure, bash, collaboration, cloud, terraform, kubernetes, python, ansible",13,2,Marketing & Architecture,3,UI/UX Design
Chemical Engineer,"Monitor and maintain product quality standards, perform inspections, and implement quality control procedures.","Quality control processes Quality assurance standards (e.g., ISO) Statistical analysis Inspection techniques Documenting quality issues Root cause analysis Communication with production teams Problem-solving Attention to detail Technical knowledge",$55K-$102K,5 to 9 Years,Algiers,Algeria,Contract,Prudential Financial,2022-04-13,"communication, problem solving",2,2,Marketing & Architecture,3,UI/UX Design
Network Engineer,"Network Security Engineers focus on protecting network systems from cyber threats. They implement security measures, monitor network traffic, and respond to security incidents to safeguard the organizations data.",Network security protocols and technologies Firewalls and intrusion detection systems Vulnerability assessment and penetration testing Security policy development and enforcement Incident response and recovery,$57K-$119K,4 to 10 Years,Nur-Sultan,Kazakhstan,Temporary,The Walt Disney Company,2023-04-20,"penetration testing, firewall, network security, vulnerability, security, incident response",6,4,Network & Security,4,Network & Security
Architect,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards.","Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design",$56K-$127K,4 to 10 Years,Oranjestad,Aruba,Part-Time,Fifth Third Bancorp,2022-04-17,,0,2,Marketing & Architecture,0,Engineering & Systems
Systems Engineer,"The role of a Systems Integration Specialist involves integrating various software and hardware components to create cohesive systems. You will design and implement solutions that enable different systems to communicate and work together seamlessly. Your responsibilities also include troubleshooting integration issues, ensuring data consistency, and collaborating with cross-functional teams.",Systems integration Integration architecture Data mapping Middleware technologies API integration System testing Troubleshooting,$63K-$125K,4 to 9 Years,Yaren District (de facto),Nauru,Part-Time,Albertsons,2021-12-16,,0,2,Marketing & Architecture,2,Application Development
Aerospace Engineer,Systems Engineers design and manage complex systems and infrastructure. They integrate various components and technologies to ensure optimal system performance and reliability.,Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management,$55K-$104K,5 to 15 Years,Philipsburg,Sint Maarten (Dutch part),Intern,"The Goldman Sachs Group, Inc.",2022-09-20,"documentation, infrastructure",2,2,Marketing & Architecture,4,Network & Security
Data Entry Clerk,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations.",Office management Administrative tasks Communication and organization,$65K-$123K,2 to 10 Years,Douglas,Isle of Man,Part-Time,Markel,2022-03-25,communication,1,2,Marketing & Architecture,4,Network & Security
Business Analyst,"IT Business Analysts bridge the gap between business needs and technology solutions. They analyze business processes, gather requirements, and create solutions that align with organizational goals.",Business process analysis Requirement gathering Data analysis Communication skills,$60K-$105K,2 to 9 Years,Maseru,Lesotho,Full-Time,Raytheon Technologies,2021-10-28,"communication, data analysis",2,2,Marketing & Architecture,1,Data & Business Analytics
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$59K-$89K,3 to 10 Years,Nuku?alofa,Tonga,Intern,Markel,2022-07-18,"infrastructure, security, network security",3,4,Network & Security,4,Network & Security
Data Engineer,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.",Data architecture design Database management systems Data modeling,$61K-$100K,5 to 13 Years,N'Djamena,Chad,Temporary,Bed Bath & Beyond,2021-10-03,"infrastructure, database, data modeling, security",4,5,Database & Systems,4,Network & Security
IT Support Specialist,"Desktop Support Technicians troubleshoot and maintain desktop computer systems, resolving hardware and software problems for users.","Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills",$65K-$82K,3 to 9 Years,Mbabane,Eswatini,Part-Time,Croda International,2023-03-22,,0,2,Marketing & Architecture,4,Network & Security
Software Tester,A Performance Tester assesses the performance and scalability of software applications. They conduct load and stress testing to identify bottlenecks and optimize performance.,"Performance testing methodologies Load testing tools (e.g., JMeter) Test script development Performance profiling and analysis Bottleneck identification",$63K-$118K,4 to 14 Years,Monrovia,Liberia,Temporary,Global Payments,2023-02-02,,0,1,Software Development,5,Testing & Performance
Network Administrator,"Manage and maintain an organizations IT infrastructure, including servers, hardware, and software systems.","System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge",$60K-$103K,4 to 10 Years,Ashgabat,Turkmenistan,Full-Time,Spotify Technology S.A.,2022-07-10,"communication, aws, infrastructure, azure, collaboration, cloud, security, problem solving, system administration",9,4,Network & Security,4,Network & Security
Market Research Analyst,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.",Market research methodologies Data collection and analysis Industry knowledge,$61K-$103K,5 to 15 Years,Pretoria,South Africa,Part-Time,Tractor Supply Company,2023-08-29,,0,3,Data & Analytics,1,Data & Business Analytics
Software Tester,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing",$63K-$123K,5 to 12 Years,Athens,Greece,Full-Time,Grafton Group,2022-08-21,"reporting, regression",2,2,Marketing & Architecture,3,UI/UX Design
Interior Designer,"A Residential Interior Designer plans and designs interior spaces in homes. They select furnishings, colors, and layouts to create functional and aesthetically pleasing environments.",Residential interior design Space planning Color theory and selection Furniture and materials selection 3D modeling and rendering,$61K-$91K,3 to 8 Years,Helsinki,Finland,Intern,FedEx,2023-03-19,,0,0,Design & UI/UX,3,UI/UX Design
Systems Analyst,"An IT Analyst assesses and analyzes IT systems, identifying areas for improvement, implementing technology solutions, and providing technical support to users and departments.",IT systems analysis Troubleshooting IT support and documentation,$58K-$95K,2 to 8 Years,Roseau,Dominica,Intern,EnLink Midstream,2021-11-17,documentation,1,2,Marketing & Architecture,4,Network & Security
Research Analyst,"A Market Research Analyst gathers and analyzes data to provide insights into market trends, consumer behavior, and competitive landscapes. They help businesses make informed decisions.","Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail",$58K-$85K,3 to 14 Years,Lima,Peru,Temporary,Anheuser-Busch InBev SA/NV,2023-04-23,"communication, data visualization",2,3,Data & Analytics,1,Data & Business Analytics
Software Engineer,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.","Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization",$61K-$102K,2 to 15 Years,Port Vila,Vanuatu,Full-Time,WestRock,2022-04-15,"frontend, javascript, user interface, git, vue, angular, react, html",8,0,Design & UI/UX,3,UI/UX Design
Electrical Engineer,"Controls Engineers specialize in industrial automation, designing and implementing control systems for machinery and manufacturing processes. They optimize efficiency and safety.",Control system design PLC programming Automation Instrumentation System integration,$65K-$87K,1 to 13 Years,Minsk,Belarus,Contract,Tenet Healthcare,2022-06-15,,0,2,Marketing & Architecture,0,Engineering & Systems
Software Developer,Mobile App Developers design and develop mobile applications for various platforms. They collaborate with cross-functional teams to create user-friendly and functional mobile apps that meet user needs.,"Mobile app development languages (e.g., Java, Swift, Kotlin) Cross-platform development (e.g., React Native, Flutter) Mobile app design principles APIs and web services integration Debugging and troubleshooting",$60K-$99K,5 to 10 Years,Bissau,Guinea-Bissau,Contract,Bharti Infratel,2022-04-28,"swift, mobile, app development, java, flutter, react, react native, kotlin",8,0,Design & UI/UX,2,Application Development
Mechanical Engineer,"HVAC Engineers specialize in heating, ventilation, and air conditioning systems, designing efficient HVAC solutions for buildings and facilities.",Knowledge of HVAC systems and equipment Mechanical engineering skills Problem-solving abilities AutoCAD proficiency HVAC design and installation expertise,$59K-$112K,2 to 11 Years,Brussels,Belgium,Full-Time,Adidas AG,2022-10-08,problem solving,1,2,Marketing & Architecture,5,Testing & Performance
Chemical Analyst,"In the role of a Quality Control Analyst, you will be responsible for inspecting and testing products to ensure they meet quality standards and specifications. You will use quality control tools and processes to identify defects, document findings, and recommend improvements. Your role is essential in maintaining product quality and customer satisfaction.",Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis,$63K-$110K,4 to 9 Years,Lilongwe,Malawi,Full-Time,Suncorp Group,2022-12-22,"documentation, compliance",2,2,Marketing & Architecture,3,UI/UX Design
Software Engineer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",$56K-$109K,3 to 11 Years,Paris,France,Contract,Archer Daniels Midland,2023-01-31,"backend, communication, ruby, infrastructure, database, sql, django, java, nosql, express, security, python, node",13,1,Software Development,2,Application Development
Civil Engineer,"A Transportation Engineer plans and designs transportation systems, including roads, highways, and public transit. They aim to improve transportation efficiency and safety.","Transportation engineering Traffic analysis and planning Civil engineering software (e.g., MicroStation, AutoCAD Civil 3D) Roadway design Public transportation knowledge",$61K-$115K,3 to 13 Years,Gaborone,Botswana,Contract,ITC Limited,2021-10-22,,0,2,Marketing & Architecture,0,Engineering & Systems
Graphic Designer,"Print Graphic Designers design graphics and layouts for printed materials such as brochures, posters, and packaging. They use their creativity and design skills to visually communicate messages and information effectively in printed form.","Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge",$62K-$110K,4 to 14 Years,Palikir,"Micronesia, Fed. Sts.",Full-Time,Corning,2021-12-24,"creativity, adobe, illustrator",3,0,Design & UI/UX,3,UI/UX Design
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",$63K-$125K,4 to 14 Years,SÃ£o TomÃ©,Sao Tome and Principe,Temporary,Bajaj Holdings & Investment Limited,2021-12-05,analytics,1,2,Marketing & Architecture,0,Engineering & Systems
Software Engineer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",$55K-$83K,5 to 14 Years,Suva,Fiji,Part-Time,Beiersdorf AG,2022-05-04,"backend, communication, ruby, infrastructure, database, sql, django, java, nosql, express, security, python, node",13,1,Software Development,2,Application Development
Structural Engineer,"A Construction Engineer manages construction projects, oversees project planning, budgets, and construction activities, and ensures projects are completed on time and within budget.",Construction management Structural design AutoCAD proficiency Project management Site inspection,$63K-$102K,1 to 8 Years,Mexico City,Mexico,Full-Time,Nvidia,2022-09-02,project management,1,2,Marketing & Architecture,0,Engineering & Systems
Civil Engineer,"A Water Resources Engineer manages and develops water-related projects, such as dams, irrigation systems, and flood control measures, to ensure water resource sustainability.",Water resources engineering Hydrology and hydraulics Environmental impact assessment Water resource modeling software Watershed management,$59K-$101K,2 to 14 Years,Havana,Cuba,Part-Time,Mahindra & Mahindra Financial Services,2023-01-28,,0,2,Marketing & Architecture,0,Engineering & Systems
Data Engineer,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.",Data architecture design Database management systems Data modeling,$63K-$85K,1 to 11 Years,Manila,Philippines,Full-Time,Sinopharm Group,2023-03-20,"infrastructure, database, data modeling, security",4,5,Database & Systems,4,Network & Security
Technical Writer,Instructional Designers develop educational materials and curricula. They design engaging and effective learning experiences for students or employees.,Instructional design eLearning tools Curriculum development Multimedia design Learning theory knowledge,$63K-$126K,3 to 12 Years,Funafuti,Tuvalu,Temporary,China Unicom,2023-01-05,,0,2,Marketing & Architecture,0,Engineering & Systems
Data Engineer,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.",Data architecture design Database management systems Data modeling,$57K-$102K,2 to 14 Years,Helsinki,Finland,Full-Time,Telstra Corporation,2023-06-23,"infrastructure, database, data modeling, security",4,5,Database & Systems,4,Network & Security
Landscape Architect,Create aesthetically pleasing and functional landscape designs for residential properties.,Landscape design Plant selection and care Hardscape design,$59K-$128K,0 to 11 Years,Kuala Lumpur,Malaysia,Intern,Sempra,2023-05-08,,0,2,Marketing & Architecture,2,Application Development
Environmental Engineer,"An Environmental Consultant assesses environmental impacts, provides regulatory compliance guidance, and develops strategies for sustainable practices and environmental protection.",Environmental assessments Regulatory compliance Environmental impact analysis,$64K-$117K,0 to 12 Years,Luxembourg,Luxembourg,Temporary,V-Guard Industries,2022-04-15,compliance,1,2,Marketing & Architecture,3,UI/UX Design
Data Analyst,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.","Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making",$58K-$108K,1 to 13 Years,Singapore,Singapore,Full-Time,Tata Communications,2022-10-01,"reporting, stakeholder, database, sql, data modeling, business intelligence, analytical, tableau, data visualization, data analysis, problem solving",11,3,Data & Analytics,1,Data & Business Analytics
Landscape Architect,Create aesthetically pleasing and functional landscape designs for residential properties.,Landscape design Plant selection and care Hardscape design,$64K-$119K,0 to 9 Years,Tokyo,Japan,Temporary,General Electric,2023-03-23,,0,2,Marketing & Architecture,2,Application Development
Digital Marketing Specialist,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.","Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy",$63K-$111K,2 to 8 Years,Belmopan,Belize,Full-Time,Alphabet,2023-08-01,analytics,1,2,Marketing & Architecture,3,UI/UX Design
Chemical Engineer,"Optimize manufacturing processes, improve efficiency, and ensure product quality in industrial settings.",Process optimization Manufacturing processes Lean Six Sigma methodologies Data analysis Statistical process control Quality management Root cause analysis Collaboration Problem-solving Attention to detail Technical knowledge,$56K-$115K,3 to 8 Years,Tunis,Tunisia,Intern,EOG Resources,2021-10-04,"collaboration, data analysis, problem solving",3,2,Marketing & Architecture,3,UI/UX Design
UX/UI Designer,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",$57K-$114K,2 to 11 Years,Sucre (de jure),Bolivia,Contract,Dana,2023-09-09,"wireframing, sketch, prototyping, user research, adobe",5,0,Design & UI/UX,5,Testing & Performance
Business Analyst,"IT Business Analysts bridge the gap between business needs and technology solutions. They analyze business processes, gather requirements, and create solutions that align with organizational goals.",Business process analysis Requirement gathering Data analysis Communication skills,$62K-$92K,1 to 10 Years,Copenhagen,Denmark,Part-Time,Bodycote,2021-11-18,"communication, data analysis",2,2,Marketing & Architecture,1,Data & Business Analytics
Software Architect,"An Enterprise Architect oversees the overall IT infrastructure, ensuring it supports business processes, and develops strategies to enhance the organizations technology landscape.",Enterprise architecture Business strategy alignment IT governance and compliance,$59K-$126K,5 to 10 Years,AsunciÃ³n,Paraguay,Contract,Coterra Energy,2022-09-10,"infrastructure, compliance",2,2,Marketing & Architecture,1,Data & Business Analytics
IT Support Specialist,"Help Desk Support Specialists provide technical assistance and support to end-users, resolving IT issues and ensuring smooth operations.",Technical troubleshooting Customer service and communication Ticketing system usage Basic IT knowledge Problem-solving and critical-thinking skills,$61K-$104K,5 to 13 Years,Bangui,Central African Republic,Part-Time,Petronet LNG,2023-04-18,"critical thinking, communication, problem solving",3,3,Data & Analytics,2,Application Development
Mechanical Engineer,"Mechanical Design Engineers create and develop mechanical systems and components, from concept to manufacturing, ensuring functionality and safety.","Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping",$63K-$86K,4 to 10 Years,Yaounde,Cameroon,Part-Time,Dow,2021-11-09,prototyping,1,2,Marketing & Architecture,0,Engineering & Systems
Research Analyst,A Data Analyst Researcher conducts research and analysis using data to support academic or scientific inquiries. They contribute to research projects and publish findings.,"Data analysis techniques Research methodologies Data collection and interpretation Statistical analysis software (e.g., R, Python) Data visualization tools (e.g., Tableau, Power BI) Research report writing Critical thinking Problem-solving Communication skills Attention to detail",$61K-$103K,3 to 14 Years,"Capitol Hill, Saipan",Northern Mariana Islands,Temporary,Glenmark Pharmaceuticals,2023-07-18,"communication, critical thinking, python, tableau, data visualization, data analysis, problem solving",7,3,Data & Analytics,1,Data & Business Analytics
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$60K-$94K,2 to 9 Years,Dushanbe,Tajikistan,Intern,Brighthouse Financial,2023-02-04,"infrastructure, security, network security",3,4,Network & Security,4,Network & Security
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$65K-$100K,3 to 11 Years,Yaounde,Cameroon,Part-Time,Ford Motor Company,2021-10-05,"infrastructure, security, network security",3,4,Network & Security,4,Network & Security
