title,description,skills,salary,experience,qualification,location,country,work_type,company,date_posted,role,description_clean,skills_clean,title_clean,extracted_skills,desc_skills,all_skills,skill_count,all_skills_str
Front-End Engineer,"UI/UX Front-End Developers focus on creating user-friendly and visually appealing interfaces for web and mobile applications. They work on user experience design, responsive layouts, and front-end development to optimize user interactions.",UI/UX design Frontend web development Wireframing and prototyping User research Accessibility standards Responsive design Collaboration skills,$59K-$89K,1 to 8 Years,PhD,Andorra la Vella,Andorra,Temporary,Johnson & Johnson,2022-09-04,UI/UX Front-End Developer,front end developer focus creating user friendly visually appealing interface web mobile application work user design responsive layout front end development optimize user interaction,design frontend web development wireframing prototyping user research accessibility standard responsive design collaboration skill,front-end engineer,"['frontend', 'wireframing', 'collaboration', 'web development', 'prototyping', 'user research']",['mobile'],"['frontend', 'wireframing', 'collaboration', 'mobile', 'web development', 'prototyping', 'user research']",7,"frontend, wireframing, collaboration, mobile, web development, prototyping, user research"
Mechanical Engineer,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.",Manufacturing processes knowledge CAD/CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification,$59K-$101K,2 to 14 Years,MCA,Managua,Nicaragua,Full-Time,Fidelity National Financial,2023-07-10,Manufacturing Engineer,manufacturing engineer optimize manufacturing process improve production efficiency ensure product quality manufacturing environment,manufacturing process cad cam software proficiency lean manufacturing principle quality control assurance six sigma certification,mechanical engineer,[],[],[],0,
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,$63K-$90K,1 to 10 Years,MBA,Oranjestad,Aruba,Intern,Equitable Holdings,2022-04-11,IT Support Specialist,support specialist provide technical assistance end user troubleshooting hardware software problem setting equipment maintaining infrastructure,technical troubleshooting hardware software support customer service problem solving communication,systems administrator,"['communication', 'problem solving']",['infrastructure'],"['infrastructure', 'communication', 'problem solving']",3,"infrastructure, communication, problem solving"
Architect,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations.",Architectural project management Construction documents Building systems Design coordination Client communication,$55K-$97K,4 to 14 Years,M.Com,Abu Dhabi,UAE,Temporary,Graphic Packaging Holding,2023-06-22,Project Architect,project architect lead architectural project concept completion coordinating design team managing budget ensuring compliance regulation,architectural project management construction document building system design coordination client communication,architect,"['communication', 'project management']",['compliance'],"['compliance', 'communication', 'project management']",3,"compliance, communication, project management"
Chemical Analyst,"As an Analytical Chemist, your primary responsibility is to analyze chemical compounds and substances using various laboratory techniques and equipment. You will conduct experiments, interpret results, and generate reports. Your role may involve developing analytical methods, maintaining lab equipment, and adhering to safety protocols to ensure accurate and reliable analyses.","Analytical chemistry Laboratory techniques Instrumentation Data analysis Quality control Sample preparation Scientific software (e.g., ChemDraw)",$59K-$114K,1 to 8 Years,BA,London,UK,Contract,Adani Ports and Special Economic Zone,2023-05-27,Analytical Chemist,analytical chemist primary responsibility analyze chemical compound substance using various laboratory technique equipment conduct experiment interpret result generate report may involve developing analytical method maintaining lab equipment adhering safety protocol ensure accurate reliable analysis,analytical chemistry laboratory technique instrumentation data analysis quality control sample preparation scientific software chemdraw,chemical analyst,"['analytical', 'data analysis']",['analytical'],"['data analysis', 'analytical']",2,"data analysis, analytical"
Network Engineer,"Wireless Network Engineers design, implement, and maintain wireless network solutions. They optimize wireless connectivity, troubleshoot issues, and ensure reliable and secure wireless communications.",Wireless network design and architecture Wi-Fi standards and protocols RF (Radio Frequency) planning and optimization Wireless security protocols Troubleshooting wireless network issues,$64K-$109K,2 to 9 Years,B.Tech,Yaounde,Cameroon,Full-Time,Fortune Brands Innovations,2022-09-05,Wireless Network Engineer,wireless network engineer design implement maintain wireless network solution optimize wireless connectivity troubleshoot issue ensure reliable secure wireless communication,wireless network design architecture standard protocol radio frequency planning optimization wireless security protocol troubleshooting wireless network issue,network engineer,"['wireless', 'security', 'network design']","['communication', 'wireless']","['communication', 'wireless', 'security', 'network design']",4,"communication, wireless, security, network design"
Chemical Analyst,"As an Analytical Chemist, your primary responsibility is to analyze chemical compounds and substances using various laboratory techniques and equipment. You will conduct experiments, interpret results, and generate reports. Your role may involve developing analytical methods, maintaining lab equipment, and adhering to safety protocols to ensure accurate and reliable analyses.","Analytical chemistry Laboratory techniques Instrumentation Data analysis Quality control Sample preparation Scientific software (e.g., ChemDraw)",$63K-$113K,4 to 8 Years,M.Tech,Yamoussoukro,Cote d'Ivoire,Intern,Edison International,2022-12-06,Analytical Chemist,analytical chemist primary responsibility analyze chemical compound substance using various laboratory technique equipment conduct experiment interpret result generate report may involve developing analytical method maintaining lab equipment adhering safety protocol ensure accurate reliable analysis,analytical chemistry laboratory technique instrumentation data analysis quality control sample preparation scientific software chemdraw,chemical analyst,"['analytical', 'data analysis']",['analytical'],"['data analysis', 'analytical']",2,"data analysis, analytical"
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,$65K-$111K,4 to 8 Years,BCA,Funafuti,Tuvalu,Full-Time,NRG Energy,2021-11-16,IT Support Specialist,support specialist provide technical assistance end user troubleshooting hardware software problem setting equipment maintaining infrastructure,technical troubleshooting hardware software support customer service problem solving communication,systems administrator,"['communication', 'problem solving']",['infrastructure'],"['infrastructure', 'communication', 'problem solving']",3,"infrastructure, communication, problem solving"
Chemical Analyst,"As a Research Chemist, you will engage in scientific research and experimentation to discover and develop new chemical compounds or processes. Your work may involve designing experiments, analyzing data, and publishing research findings. Your role contributes to the advancement of scientific knowledge and may have applications in various industries.",Research chemistry Experimental design Data interpretation Chemical synthesis Research protocols Scientific writing Problem-solving skills,$64K-$113K,0 to 13 Years,M.Com,Kinshasa,Democratic Republic Of Congo,Temporary,Haier Group,2022-05-14,Research Chemist,research chemist engage scientific research experimentation discover develop new chemical compound process work may involve designing experiment analyzing data publishing research finding contributes advancement scientific may application various industry,research chemistry experimental design data interpretation chemical synthesis research protocol scientific writing problem solving skill,chemical analyst,['problem solving'],[],['problem solving'],1,problem solving
Marketing Analyst,"Analyze digital marketing campaigns, track performance metrics, and optimize online marketing strategies.",Digital marketing strategies Analytics and reporting SEO and SEM Social media marketing Email marketing Data interpretation Marketing automation tools A/B testing Communication skills Problem-solving Attention to detail Marketing knowledge,$62K-$84K,5 to 14 Years,PhD,Oranjestad,Aruba,Temporary,ProSiebenSat.1 Media SE,2023-06-17,Digital Marketing Analyst,analyze digital marketing campaign track performance metric optimize online marketing strategy,digital marketing strategy analytics reporting seo sem social medium marketing email marketing data interpretation marketing automation tool testing communication skill problem solving attention detail marketing,marketing analyst,"['analytics', 'communication', 'reporting', 'problem solving']",[],"['analytics', 'communication', 'reporting', 'problem solving']",4,"analytics, communication, reporting, problem solving"
Market Research Analyst,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.",Market research methodologies Data collection and analysis Industry knowledge,$65K-$110K,0 to 13 Years,MCA,Bamako,Mali,Full-Time,Bodycote,2021-12-20,Market Researcher,market researcher gather analyzes market data provide insight consumer behavior market trend competitor activity aiding informed business decision,market research methodology data collection analysis industry,market research analyst,[],[],[],0,
Quality Assurance Analyst,"QA Testers assess software and applications for defects and quality issues. They conduct testing procedures, report bugs, and work with development teams to ensure the delivery of high-quality software products.","Test planning and strategy Test case design and execution Defect reporting and tracking Test automation tools (e.g., Selenium, Appium) Regression testing",$56K-$113K,4 to 11 Years,PhD,Abuja,Nigeria,Temporary,WHSmith,2023-01-05,QA Tester,tester assess software application defect quality issue conduct testing procedure report bug work development team ensure delivery high quality software product,test planning strategy test case design execution defect reporting tracking test automation tool selenium appium regression testing,quality assurance analyst,"['reporting', 'regression']",[],"['reporting', 'regression']",2,"reporting, regression"
SEO Analyst,"As a Technical SEO Analyst, your role is to analyze website performance and identify opportunities for optimization. You will work on improving site speed, mobile-friendliness, and other technical aspects to enhance search engine rankings. You will also perform keyword research, conduct competitive analysis, and provide recommendations to improve website SEO.","Technical SEO Website audits SEO tools (e.g., Screaming Frog, Ahrefs) Schema markup Site speed optimization XML sitemaps Canonicalization",$61K-$119K,5 to 12 Years,MCA,Monrovia,Liberia,Temporary,"Lyft, Inc.",2023-05-04,Technical SEO Analyst,technical seo analyst analyze website performance identify opportunity optimization work improving site speed mobile friendliness technical aspect enhance search engine ranking also perform keyword research conduct competitive analysis provide recommendation improve website seo,technical seo website audit seo tool screaming frog ahrefs schema markup site speed optimization xml sitemaps canonicalization,seo analyst,[],['mobile'],['mobile'],1,mobile
Market Research Analyst,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.",Market research methodologies Data collection and analysis Industry knowledge,$63K-$101K,2 to 12 Years,BBA,Castries,St. Lucia,Contract,Morgan Stanley,2022-05-16,Market Researcher,market researcher gather analyzes market data provide insight consumer behavior market trend competitor activity aiding informed business decision,market research methodology data collection analysis industry,market research analyst,[],[],[],0,
Web Designer,"E-commerce Web Designers specialize in designing and optimizing online stores and shopping websites. They focus on user experience, product presentation, and conversion rate optimization to drive online sales and customer engagement.","E-commerce web design UX/UI design Shopping cart integration Payment gateway integration Mobile responsiveness E-commerce platforms (e.g., Shopify)",$55K-$105K,5 to 9 Years,BA,Victoria,Seychelles,Full-Time,TravelCenters of America,2023-05-22,E-commerce Web Designer,commerce web designer specialize designing optimizing online store shopping website focus user product presentation conversion rate optimization drive online sale customer engagement,commerce web design design shopping cart integration payment gateway integration mobile responsiveness commerce platform shopify,web designer,['mobile'],['presentation'],"['mobile', 'presentation']",2,"mobile, presentation"
Software Tester,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing",$62K-$116K,0 to 12 Years,PhD,Male,Maldives,Contract,The Clorox Company,2022-06-17,Quality Assurance Analyst,quality assurance analyst test software product ensure meet quality standard identify defect report issue work development team resolve problem,quality assurance process testing methodology manual automated bug tracking reporting test case development regression testing,software tester,"['reporting', 'regression']",[],"['reporting', 'regression']",2,"reporting, regression"
QA Engineer,"A QA Manager is responsible for leading and managing the quality assurance team. They ensure product quality, develop and implement QA processes, and maintain quality standards.",Quality assurance Process improvement Team leadership Problem-solving Quality control,$60K-$107K,0 to 13 Years,BA,Banjul,Gambia,Part-Time,Goodyear Tire & Rubber,2023-04-25,QA Manager,manager responsible leading managing quality assurance ensure product quality develop implement process maintain quality standard,quality assurance process improvement leadership problem solving quality control,qa engineer,"['leadership', 'problem solving']",[],"['leadership', 'problem solving']",2,"leadership, problem solving"
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",$59K-$116K,3 to 8 Years,BCA,Islamabad,Pakistan,Intern,Telstra Corporation,2022-09-24,Social Media Manager,social medium manager oversee organization social medium presence create schedule content engage follower analyze social medium metric drive brand awareness engagement,social medium platform facebook twitter instagram content creation scheduling social medium analytics insight community engagement paid social advertising,digital marketing specialist,['analytics'],[],['analytics'],1,analytics
Chemical Analyst,"As a Research Chemist, you will engage in scientific research and experimentation to discover and develop new chemical compounds or processes. Your work may involve designing experiments, analyzing data, and publishing research findings. Your role contributes to the advancement of scientific knowledge and may have applications in various industries.",Research chemistry Experimental design Data interpretation Chemical synthesis Research protocols Scientific writing Problem-solving skills,$58K-$90K,1 to 15 Years,BA,Nassau,"Bahamas, The",Temporary,Westlake,2023-08-16,Research Chemist,research chemist engage scientific research experimentation discover develop new chemical compound process work may involve designing experiment analyzing data publishing research finding contributes advancement scientific may application various industry,research chemistry experimental design data interpretation chemical synthesis research protocol scientific writing problem solving skill,chemical analyst,['problem solving'],[],['problem solving'],1,problem solving
Database Administrator,"A Database Developer designs, develops, and maintains databases. They create efficient data structures, write queries, and ensure data security and integrity.","Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge",$55K-$98K,3 to 13 Years,BBA,Port Vila,Vanuatu,Contract,Escorts Limited,2022-03-12,Database Developer,database developer design develops maintains database create efficient data structure write query ensure data security integrity,database design development sql database querying data modeling programming language java python data security privacy regulation,database administrator,"['database', 'data modeling', 'sql', 'java', 'security', 'python']","['database', 'security']","['database', 'sql', 'data modeling', 'java', 'security', 'python']",6,"database, sql, data modeling, java, security, python"
UI Developer,A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.,User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma,$55K-$117K,2 to 9 Years,BA,Torshavn,Faroe Islands,Contract,Moderna,2022-08-15,UX/UI Designer,designer focus enhancing user experience designing intuitive interface consider user need preference create visually appealing functional design,user design user interface design wireframing prototyping usability testing design tool like sketch figma,ui developer,"['figma', 'wireframing', 'user interface', 'sketch', 'prototyping']",['user experience'],"['figma', 'wireframing', 'user interface', 'user experience', 'sketch', 'prototyping']",6,"figma, wireframing, user interface, user experience, sketch, prototyping"
Data Analyst,"Data Quality Analysts ensure the accuracy, completeness, and consistency of data within an organization. They develop and implement data quality standards, perform data validation, and identify and resolve data quality issues to maintain data integrity.","Data quality assessment and improvement Data profiling and validation Knowledge of data quality tools (e.g., Informatica, Talend) Data governance principles SQL for data analysis Attention to detail and data accuracy",$55K-$123K,5 to 9 Years,B.Com,Mexico City,Mexico,Contract,Casey's General Stores,2022-02-01,Data Quality Analyst,data quality analyst ensure accuracy completeness consistency data within organization develop implement data quality standard perform data validation identify resolve data quality issue maintain data integrity,data quality assessment improvement data profiling validation data quality tool informatica talend data governance principle sql data analysis attention detail data accuracy,data analyst,"['data analysis', 'sql']",[],"['data analysis', 'sql']",2,"data analysis, sql"
Software Engineer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",$60K-$86K,3 to 8 Years,B.Tech,Kingstown,St. Vincent and the Grenadines,Contract,Volkswagen Financial Services AG,2021-11-28,Backend Developer,backend developer tasked building maintaining server side logic database infrastructure web application work core functionality data storage server communication ensure application run smoothly efficiently,proficiency one backend programming language java python node ruby api development database management sql nosql server management deployment security best practice web framework express django,software engineer,"['backend', 'ruby', 'database', 'security', 'sql', 'java', 'nosql', 'express', 'django', 'python', 'node']","['communication', 'infrastructure', 'backend', 'database']","['backend', 'communication', 'ruby', 'infrastructure', 'database', 'sql', 'django', 'java', 'nosql', 'express', 'security', 'python', 'node']",13,"backend, communication, ruby, infrastructure, database, sql, django, java, nosql, express, security, python, node"
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$59K-$91K,5 to 9 Years,BA,Naypyidaw,Myanmar,Temporary,WESCO International,2021-10-06,Network Administrator,network administrator manage organization computer network configure monitor maintain network infrastructure ensuring optimal performance security,network management troubleshooting network security certification ccna,network engineer,"['security', 'network security']","['infrastructure', 'security']","['infrastructure', 'security', 'network security']",3,"infrastructure, security, network security"
Digital Marketing Specialist,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.","Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy",$59K-$80K,0 to 9 Years,B.Com,Tehran,"Iran, Islamic Rep.",Full-Time,US Foods Holding,2022-02-22,SEO Specialist,seo specialist optimize website search engine improve online visibility conduct keyword research optimize content implement seo strategy increase organic traffic ranking,search engine algorithm ranking factor keyword research analysis page page seo optimization seo tool google analytics semrush seo content strategy,digital marketing specialist,['analytics'],[],['analytics'],1,analytics
Civil Engineer,"A Water Resources Engineer manages and develops water-related projects, such as dams, irrigation systems, and flood control measures, to ensure water resource sustainability.",Water resources engineering Hydrology and hydraulics Environmental impact assessment Water resource modeling software Watershed management,$58K-$123K,4 to 9 Years,MBA,Bangui,Central African Republic,Contract,Goodyear Tire & Rubber,2022-01-22,Water Resources Engineer,water resource engineer manages develops water related project dam irrigation system flood control measure ensure water resource sustainability,water resource engineering hydrology hydraulics environmental impact assessment water resource modeling software watershed management,civil engineer,[],[],[],0,
Investment Analyst,A Risk Analyst assesses and manages financial risks within an organization. They use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.,Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge,$61K-$85K,5 to 14 Years,MCA,Tokyo,Japan,Part-Time,Hargreaves Lansdown,2021-10-30,Risk Analyst,risk analyst assesses manages financial risk within organization use data analysis modeling evaluate potential risk recommend mitigation strategy,risk assessment data analysis financial modeling risk management tool regulatory compliance,investment analyst,"['risk management', 'data analysis', 'compliance']",['data analysis'],"['data analysis', 'risk management', 'compliance']",3,"data analysis, risk management, compliance"
Data Scientist,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes.","Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing",$59K-$118K,5 to 8 Years,B.Com,Gaza,West Bank and Gaza,Temporary,Carrier Global,2022-07-18,Data Engineer,data engineer design maintain data pipeline ensuring data availability quality analysis reporting purpose,data integration etl extract transform load big data technology hadoop spark database management data warehousing,data scientist,"['hadoop', 'spark', 'database', 'etl', 'big data']",['reporting'],"['reporting', 'hadoop', 'spark', 'database', 'etl', 'big data']",6,"reporting, hadoop, spark, database, etl, big data"
Aerospace Engineer,"Aircraft Design Engineers design and develop aircraft systems and structures. They work on aircraft components, propulsion systems, and aerodynamics to ensure safety and efficiency.","Aerospace engineering CAD software (e.g., AutoCAD) Aerodynamics Structural analysis Aircraft systems Safety regulations",$61K-$92K,3 to 10 Years,PhD,Porto-Novo,Benin,Intern,CSL Limited,2023-05-06,Aircraft Design Engineer,aircraft design engineer design develop aircraft system structure work aircraft component propulsion system aerodynamics ensure safety efficiency,aerospace engineering cad software autocad aerodynamics structural analysis aircraft system safety regulation,aerospace engineer,[],[],[],0,
Chemical Engineer,"Optimize manufacturing processes, improve efficiency, and ensure product quality in industrial settings.",Process optimization Manufacturing processes Lean Six Sigma methodologies Data analysis Statistical process control Quality management Root cause analysis Collaboration Problem-solving Attention to detail Technical knowledge,$56K-$98K,3 to 9 Years,PhD,Dushanbe,Tajikistan,Contract,Unum Group,2022-03-27,Process Engineer,optimize manufacturing process improve efficiency ensure product quality industrial setting,process optimization manufacturing process lean six sigma methodology data analysis statistical process control quality management root cause analysis collaboration problem solving attention detail technical,chemical engineer,"['collaboration', 'data analysis', 'problem solving']",[],"['collaboration', 'data analysis', 'problem solving']",3,"collaboration, data analysis, problem solving"
Network Security Specialist,"Cybersecurity Analysts protect computer systems and networks from cyber threats. They monitor security systems, investigate breaches, and implement security measures to safeguard data.","Cybersecurity Security assessments Intrusion detection Security tools (e.g., SIEM) Incident response Vulnerability scanning",$60K-$91K,1 to 15 Years,BCA,Apia,American Samoa,Full-Time,DuPont,2021-10-30,Cybersecurity Analyst,cybersecurity analyst protect computer system network cyber threat monitor security system investigate breach implement security measure safeguard data,cybersecurity security assessment intrusion detection security tool siem incident response vulnerability scanning,network security specialist,"['cybersecurity', 'siem', 'vulnerability', 'security', 'incident response']","['cybersecurity', 'security']","['cybersecurity', 'siem', 'vulnerability', 'security', 'incident response']",5,"cybersecurity, siem, vulnerability, security, incident response"
Electrical Engineer,"Controls Engineers specialize in industrial automation, designing and implementing control systems for machinery and manufacturing processes. They optimize efficiency and safety.",Control system design PLC programming Automation Instrumentation System integration,$58K-$106K,1 to 12 Years,M.Tech,Phnom Penh,Cambodia,Temporary,United Parcel Service,2023-03-16,Controls Engineer,control engineer specialize industrial automation designing implementing control system machinery manufacturing process optimize efficiency safety,control system design plc programming automation instrumentation system integration,electrical engineer,[],[],[],0,
QA Analyst,Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review",$62K-$121K,3 to 15 Years,BBA,BogotÃ¡,Colombia,Full-Time,DXC Technology,2021-10-26,Automation Test Engineer,automation test engineer develop automated test script framework streamline enhance testing process focus automating repetitive test improve efficiency maintain test consistency,test automation test framework development continuous integration scripting language python test reporting code review,qa analyst,"['reporting', 'python']",[],"['reporting', 'python']",2,"reporting, python"
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,$64K-$109K,3 to 11 Years,BBA,Kingston,Jamaica,Contract,LPL Financial Holdings,2021-12-18,Interaction Designer,interaction designer specialize designing user interaction within digital interface create meaningful engaging user experience considering user behavior system response,interaction design principle user behavior psychology wireframing prototyping tool animation micro interaction design collaborative design process,ux/ui designer,"['prototyping', 'wireframing']",['user experience'],"['prototyping', 'wireframing', 'user experience']",3,"prototyping, wireframing, user experience"
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,$60K-$104K,3 to 14 Years,M.Tech,Copenhagen,Denmark,Intern,TravelCenters of America,2023-02-28,IT Support Specialist,support specialist provide technical assistance end user troubleshooting hardware software problem setting equipment maintaining infrastructure,technical troubleshooting hardware software support customer service problem solving communication,systems administrator,"['communication', 'problem solving']",['infrastructure'],"['infrastructure', 'communication', 'problem solving']",3,"infrastructure, communication, problem solving"
Data Entry Clerk,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations.",Office management Administrative tasks Communication and organization,$58K-$90K,5 to 10 Years,M.Com,Pretoria,South Africa,Contract,Dominion Energy,2023-01-12,Administrative Assistant,administrative assistant provides administrative support organization including scheduling document management assisting day day operation,office management administrative task communication organization,data entry clerk,['communication'],[],['communication'],1,communication
Financial Analyst,"Investment Analysts analyze financial data and market trends to make informed investment recommendations. They research and assess investment opportunities, create financial models, and provide insights to guide investment decisions and portfolio management.",Financial analysis Investment evaluation Portfolio management Data analysis,$56K-$127K,3 to 12 Years,B.Com,Vilnius,Lithuania,Contract,UGI,2023-06-22,Investment Analyst,investment analyst analyze financial data market trend make informed investment recommendation research assess investment opportunity create financial model provide insight guide investment decision portfolio management,financial analysis investment evaluation portfolio management data analysis,financial analyst,['data analysis'],[],['data analysis'],1,data analysis
Data Analyst,"Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.","Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)",$64K-$123K,2 to 12 Years,MBA,Macao,"Macao SAR, China",Contract,Amphenol,2023-01-24,Data Scientist,data scientist use expertise data analysis machine learning extract valuable insight prediction data build train model conduct statistical analysis communicate finding drive data driven decision making organization,machine learning algorithm library scikit learn tensorflow pytorch statistical analysis modeling data preprocessing cleaning big data technology hadoop spark data visualization programming skill python,data analyst,"['hadoop', 'tensorflow', 'spark', 'big data', 'scikit', 'machine learning', 'pytorch', 'data visualization', 'python']","['data analysis', 'machine learning']","['hadoop', 'tensorflow', 'spark', 'pytorch', 'scikit', 'machine learning', 'big data', 'data visualization', 'data analysis', 'python']",10,"hadoop, tensorflow, spark, pytorch, scikit, machine learning, big data, data visualization, data analysis, python"
Technical Writer,"Content Writers create written content for various platforms. They produce articles, blog posts, and web content to inform, educate, or entertain audiences.",Writing skills Content creation SEO knowledge Research skills Grammar and proofreading,$59K-$124K,1 to 8 Years,BBA,SÃ£o TomÃ©,Sao Tome and Principe,Part-Time,BP (British Petroleum),2023-05-19,Content Writer,content writer create written content various platform produce article blog post web content inform educate entertain audience,writing skill content creation seo research skill grammar proofreading,technical writer,[],[],[],0,
Research Analyst,"A Market Research Analyst gathers and analyzes data to provide insights into market trends, consumer behavior, and competitive landscapes. They help businesses make informed decisions.","Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail",$65K-$80K,3 to 13 Years,B.Tech,New Delhi,India,Contract,Rite Aid,2021-11-28,Market Research Analyst,market research analyst gather analyzes data provide insight market trend consumer behavior competitive landscape help business make informed decision,market research methodology data collection analysis consumer behavior analysis competitor analysis survey design analysis statistical analysis software spss sa data visualization trend analysis report writing communication skill attention detail,research analyst,"['communication', 'data visualization']",[],"['communication', 'data visualization']",2,"communication, data visualization"
Data Scientist,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes.","Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing",$56K-$107K,1 to 10 Years,MCA,Buenos Aires,Argentina,Contract,"Spirit Airlines, Inc.",2022-01-25,Data Engineer,data engineer design maintain data pipeline ensuring data availability quality analysis reporting purpose,data integration etl extract transform load big data technology hadoop spark database management data warehousing,data scientist,"['hadoop', 'spark', 'database', 'etl', 'big data']",['reporting'],"['reporting', 'hadoop', 'spark', 'database', 'etl', 'big data']",6,"reporting, hadoop, spark, database, etl, big data"
Market Research Analyst,"A Market Research Coordinator supports market research initiatives by organizing and managing research projects, data collection, and analysis efforts.",Market research coordination Survey design and administration Data analysis,$56K-$100K,2 to 9 Years,BCA,Maseru,Lesotho,Intern,DTE Energy,2022-05-05,Market Research Coordinator,market research coordinator support market research initiative organizing managing research project data collection analysis effort,market research coordination survey design administration data analysis,market research analyst,['data analysis'],[],['data analysis'],1,data analysis
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$58K-$98K,1 to 10 Years,BA,Apia,American Samoa,Full-Time,Skechers U.S.A.,2023-04-02,Network Administrator,network administrator manage organization computer network configure monitor maintain network infrastructure ensuring optimal performance security,network management troubleshooting network security certification ccna,network engineer,"['security', 'network security']","['infrastructure', 'security']","['infrastructure', 'security', 'network security']",3,"infrastructure, security, network security"
Technical Writer,"Content Writers create written content for various platforms. They produce articles, blog posts, and web content to inform, educate, or entertain audiences.",Writing skills Content creation SEO knowledge Research skills Grammar and proofreading,$62K-$115K,4 to 13 Years,BA,Torshavn,Faroe Islands,Contract,Havells India,2023-06-20,Content Writer,content writer create written content various platform produce article blog post web content inform educate entertain audience,writing skill content creation seo research skill grammar proofreading,technical writer,[],[],[],0,
QA Analyst,"Performance Testing Specialists assess the performance of software applications by conducting load, stress, and scalability tests. They identify bottlenecks, optimize performance, and ensure software can handle user demands effectively.",Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis,$56K-$109K,3 to 15 Years,B.Com,Libreville,Gabon,Full-Time,Evolution Mining,2021-12-30,Performance Testing Specialist,performance testing specialist assess performance software application conducting load stress scalability test identify bottleneck optimize performance ensure software handle user demand effectively,performance testing load testing stress testing test scenario performance monitoring benchmarking performance analysis,qa analyst,[],[],[],0,
